"C00030","SE$","","07","1","10","RECAP GRATUITE RELATIONNELLE","20050704","C/O LOGIGUA","97122","BAIE-MAHAULT","0","0","","A","","","",""
"C00054","SE$","013","07","1","10","CHARLES ACHILLE LOZANNE","20060411","PERSONNEL SAFO","97122","BAIE-MAHAULT","0","0","","A","","","",""
"C00060","SE$","013","07","1","10","CITADELLE CHRISTINA","20021112","PERSONNEL SEB","97122","BAIE-MAHAULT","590267677","0","","A","","","JARRY",""
"C00062","SE$","","07","1","10","LULEK MICHEL","20110127","PERSONNEL KARUMARK","97122","BAIE-MAHAULT","0","0","","A","","","",""
"C00068","SE$","031","07","1","10","PERS. STRAZEL MICHELLE","20170804","PERSONNEL SEB","97122","BAIE-MAHAULT","0","0","","A","","","",""
"C00070","SE$","031","07","1","10","MAXIME CORVO MARIE CANTAL","20021112","PERSONNEL SAMMIG","97122","BAIE-MAHAULT","267833","0","","A","","","",""
"C00094","SE$","031","07","1","10","GERMAIN GUY","20101209","PERSONNEL CADI","97122","BAIE-MAHAULT","0","0","","A","","","",""
"C00100","SE$","013","07","1","10","GUITTEAUD GABRIEL","20050428","PERSONNEL SAMMIG","97122","BAIE-MAHAULT","0","0","","A","","","",""
"C00104","SE$","031","07","1","10","HIJAR CHRISTIANE","20121219","PEERSONNEL CADI SURGELES","97122","BAIE-MAHAULT","0","0","","A","HIJAR CH","","",""
"C00123","SE$","","07","1","10","HIJAR GUILAINE","20090316","PERSONNEL LOGIGUA","97122","BAIE-MAHAULT","0","0","","A","","","",""
"C00124","SE$","","07","1","10","VIRASSAMY FLORENCE","20110127","PERSONNEL KARUMARK","97122","BAIE-MAHAULT","0","0","","A","","","",""
"C00130","SE$","031","07","1","10","FILOMIN RODRIGUE","20171130","PERSONNEL LOGIGUA","97139","ABYMES (LES)","0","0","","A","","","",""
"C00131","SE$","","07","1","10","LIRVAT ANICK","20090415","PERSONNEL CADI","97122","BAIE-MAHAULT","0","0","","A","","","",""
"C00134","SE$","013","07","1","10","LOUIS CHARLES PHILIPPE","20090216","PERSONNEL SEB","97122","BAIE-MAHAULT","0","0","","A","","","",""
"C00137","SE$","031","07","1","10","MACAL JOCELYNE","20151030","PERSONNEL SAFO","97122","BAIE-MAHAULT","0","0","","A","","","",""
