"C10005","901","011","10","2","22","LES TROIS S / GALLEIO       *P","20171108","34 RUE SCHOELCHER","97214","LORRAIN","596537051","59653401","acggestion972@gmail.com M DEGR","A","GUY ALBERT LERICHARD","COMPTA 0596 044975","",""
"C10018","SE$","","","2","22","SANCO SARL","20021106","PLACE D'ARMES","97232","LAMENTIN","0","0","","A","","","",""
"C10022","901","011","10","2","22","LS KDIMAX J2B SARL          *P","20171128","POINTE DU BOUT","97229","TROIS ILETS","696848613","0","","A","BERTIDE MIRELLA","0696 28 02 26","",""
"C10023","903","011","12","2","22","EPIC. POISSELLE SERVICE","20171207","QUARTIER ABONDANCE","97211","RIVIERE PILOTE","596689121","0","","A","LOUIS-MICHEL AGNES","0696 96 57 96","RIVIERE PILOTE",""
"C10027","903","011","12","2","22","STATION TOTAL DUCOS SEHH","20171221","QUARTIER BAC   DUCOS","97224","DUCOS","596770000","596770077","","A","LAURENT PINCEAU","0696 21 28 47","",""
"C10028","903","011","12","2","22","WAAKS SARL","20171228","66 RUE DU COURBARIL","97231","ROBERT","596589722","0","","A","MICHAEL EULOGA","0696102522","",""
"C10029","903","011","12","2","22","LS HIBISCUS","20180205","LOT SIGY RESIDENCE HIBISCUS","97280","VAUCLIN","596744206","0","","A","LOUIS-MICHEL GEORGET","TE    0696744206","TRANCHE 1 BAT M9",""
"C10039","MC2","011","04","2","22","LS SOPA","20170707","ROUTE DU FRANCOIS","97270","SAINT ESPRIT","596566428","0","","A","MME BEUZE","","",""
"C10044","SE$","013","","2","22","MULTIGROS (HO-HIO-HEN)","20010426","ZONE DE LA JAMBETTE","97232","LAMENTIN","0","0","","A","","","",""
"C10046","SE$","999","","2","22","THIRIET DILLON (SOMARGEL)","20180314","1 RUE EUGENE MONA","97200","FORT DE FRANCE","596792057","0","","A","JEAN MARC MAUZOLE","","Z.A DE DILLON",""
